weekday,month,hour,vehicles,weekday_de,month_name
Friday,1,0,139.25,Freitag,January
Friday,1,1,101.5,Freitag,January
Friday,1,2,74.0,Freitag,January
Friday,1,3,63.5,Freitag,January
Friday,1,4,73.0,Freitag,January
Friday,1,5,159.75,Freitag,January
Friday,1,6,429.5,Freitag,January
Friday,1,7,659.25,Freitag,January
Friday,1,8,673.25,Freitag,January
Friday,1,9,644.75,Freitag,January
Friday,1,10,670.75,Freitag,January
Friday,1,11,704.0,Freitag,January
Friday,1,12,695.0,Freitag,January
Friday,1,13,682.75,Freitag,January
Friday,1,14,703.0,Freitag,January
Friday,1,15,730.0,Freitag,January
Friday,1,16,766.5,Freitag,January
Friday,1,17,763.75,Freitag,January
Friday,1,18,712.25,Freitag,January
Friday,1,19,640.75,Freitag,January
Friday,1,20,546.75,Freitag,January
Friday,1,21,448.0,Freitag,January
Friday,1,22,472.0,Freitag,January
Friday,1,23,431.75,Freitag,January
Friday,2,0,151.0,Freitag,February
Friday,2,1,117.25,Freitag,February
Friday,2,2,68.25,Freitag,February
Friday,2,3,69.5,Freitag,February
Friday,2,4,52.5,Freitag,February
Friday,2,5,169.0,Freitag,February
Friday,2,6,458.5,Freitag,February
Friday,2,7,665.75,Freitag,February
Friday,2,8,720.5,Freitag,February
Friday,2,9,652.75,Freitag,February
Friday,2,10,679.75,Freitag,February
Friday,2,11,716.25,Freitag,February
Friday,2,12,697.25,Freitag,February
Friday,2,13,732.25,Freitag,February
Friday,2,14,725.25,Freitag,February
Friday,2,15,697.0,Freitag,February
Friday,2,16,751.0,Freitag,February
Friday,2,17,747.25,Freitag,February
Friday,2,18,719.5,Freitag,February
Friday,2,19,603.75,Freitag,February
Friday,2,20,522.75,Freitag,February
Friday,2,21,475.0,Freitag,February
Friday,2,22,486.0,Freitag,February
Friday,2,23,427.0,Freitag,February
Friday,3,0,157.25,Freitag,March
Friday,3,1,118.25,Freitag,March
Friday,3,2,70.5,Freitag,March
Friday,3,3,73.5,Freitag,March
Friday,3,4,65.25,Freitag,March
Friday,3,5,174.5,Freitag,March
Friday,3,6,511.5,Freitag,March
Friday,3,7,717.25,Freitag,March
Friday,3,8,775.25,Freitag,March
Friday,3,9,715.0,Freitag,March
Friday,3,10,699.5,Freitag,March
Friday,3,11,736.75,Freitag,March
Friday,3,12,732.25,Freitag,March
Friday,3,13,756.5,Freitag,March
Friday,3,14,756.75,Freitag,March
Friday,3,15,767.75,Freitag,March
Friday,3,16,774.25,Freitag,March
Friday,3,17,779.75,Freitag,March
Friday,3,18,737.75,Freitag,March
Friday,3,19,604.5,Freitag,March
Friday,3,20,535.75,Freitag,March
Friday,3,21,476.0,Freitag,March
Friday,3,22,495.5,Freitag,March
Friday,3,23,442.75,Freitag,March
Friday,4,0,157.5,Freitag,April
Friday,4,1,113.75,Freitag,April
Friday,4,2,69.0,Freitag,April
Friday,4,3,67.0,Freitag,April
Friday,4,4,68.5,Freitag,April
Friday,4,5,197.5,Freitag,April
Friday,4,6,552.0,Freitag,April
Friday,4,7,751.75,Freitag,April
Friday,4,8,760.25,Freitag,April
Friday,4,9,729.75,Freitag,April
Friday,4,10,710.5,Freitag,April
Friday,4,11,811.0,Freitag,April
Friday,4,12,774.25,Freitag,April
Friday,4,13,777.5,Freitag,April
Friday,4,14,764.0,Freitag,April
Friday,4,15,799.0,Freitag,April
Friday,4,16,750.0,Freitag,April
Friday,4,17,746.0,Freitag,April
Friday,4,18,709.0,Freitag,April
Friday,4,19,649.75,Freitag,April
Friday,4,20,556.75,Freitag,April
Friday,4,21,530.5,Freitag,April
Friday,4,22,529.5,Freitag,April
Friday,4,23,471.25,Freitag,April
Friday,5,0,161.8,Freitag,May
Friday,5,1,123.8,Freitag,May
Friday,5,2,75.0,Freitag,May
Friday,5,3,79.2,Freitag,May
Friday,5,4,72.4,Freitag,May
Friday,5,5,193.8,Freitag,May
Friday,5,6,522.2,Freitag,May
Friday,5,7,659.2,Freitag,May
Friday,5,8,718.4,Freitag,May
Friday,5,9,717.6,Freitag,May
Friday,5,10,753.0,Freitag,May
Friday,5,11,805.2,Freitag,May
Friday,5,12,778.0,Freitag,May
Friday,5,13,776.8,Freitag,May
Friday,5,14,765.0,Freitag,May
Friday,5,15,768.2,Freitag,May
Friday,5,16,765.4,Freitag,May
Friday,5,17,743.4,Freitag,May
Friday,5,18,718.4,Freitag,May
Friday,5,19,648.2,Freitag,May
Friday,5,20,586.8,Freitag,May
Friday,5,21,515.0,Freitag,May
Friday,5,22,533.6,Freitag,May
Friday,5,23,500.0,Freitag,May
Friday,6,0,186.75,Freitag,June
Friday,6,1,136.5,Freitag,June
Friday,6,2,86.75,Freitag,June
Friday,6,3,76.5,Freitag,June
Friday,6,4,62.0,Freitag,June
Friday,6,5,212.25,Freitag,June
Friday,6,6,565.25,Freitag,June
Friday,6,7,702.25,Freitag,June
Friday,6,8,764.75,Freitag,June
Friday,6,9,712.5,Freitag,June
Friday,6,10,740.5,Freitag,June
Friday,6,11,779.0,Freitag,June
Friday,6,12,761.75,Freitag,June
Friday,6,13,704.25,Freitag,June
Friday,6,14,731.0,Freitag,June
Friday,6,15,763.5,Freitag,June
Friday,6,16,756.5,Freitag,June
Friday,6,17,778.0,Freitag,June
Friday,6,18,610.0,Freitag,June
Friday,6,19,484.0,Freitag,June
Friday,6,20,553.75,Freitag,June
Friday,6,21,508.5,Freitag,June
Friday,6,22,523.25,Freitag,June
Friday,6,23,528.0,Freitag,June
Friday,7,0,214.33333333333334,Freitag,July
Friday,7,1,163.0,Freitag,July
Friday,7,2,112.66666666666667,Freitag,July
Friday,7,3,91.0,Freitag,July
Friday,7,4,94.66666666666667,Freitag,July
Friday,7,5,214.66666666666666,Freitag,July
Friday,7,6,557.3333333333334,Freitag,July
Friday,7,7,700.3333333333334,Freitag,July
Friday,7,8,741.3333333333334,Freitag,July
Friday,7,9,719.0,Freitag,July
Friday,7,10,719.0,Freitag,July
Friday,7,11,791.6666666666666,Freitag,July
Friday,7,12,752.0,Freitag,July
Friday,7,13,712.3333333333334,Freitag,July
Friday,7,14,760.0,Freitag,July
Friday,7,15,801.3333333333334,Freitag,July
Friday,7,16,793.6666666666666,Freitag,July
Friday,7,17,776.3333333333334,Freitag,July
Friday,7,18,740.3333333333334,Freitag,July
Friday,7,19,650.3333333333334,Freitag,July
Friday,7,20,571.6666666666666,Freitag,July
Friday,7,21,514.3333333333334,Freitag,July
Friday,7,22,526.0,Freitag,July
Friday,7,23,520.6666666666666,Freitag,July
Friday,8,0,205.4,Freitag,August
Friday,8,1,145.4,Freitag,August
Friday,8,2,91.4,Freitag,August
Friday,8,3,77.6,Freitag,August
Friday,8,4,79.2,Freitag,August
Friday,8,5,186.4,Freitag,August
Friday,8,6,491.6,Freitag,August
Friday,8,7,633.0,Freitag,August
Friday,8,8,675.4,Freitag,August
Friday,8,9,644.6,Freitag,August
Friday,8,10,709.4,Freitag,August
Friday,8,11,746.2,Freitag,August
Friday,8,12,720.8,Freitag,August
Friday,8,13,720.2,Freitag,August
Friday,8,14,718.4,Freitag,August
Friday,8,15,775.2,Freitag,August
Friday,8,16,773.4,Freitag,August
Friday,8,17,752.6,Freitag,August
Friday,8,18,729.4,Freitag,August
Friday,8,19,593.6,Freitag,August
Friday,8,20,538.8,Freitag,August
Friday,8,21,525.8,Freitag,August
Friday,8,22,518.4,Freitag,August
Friday,8,23,518.0,Freitag,August
Friday,9,0,183.75,Freitag,September
Friday,9,1,124.5,Freitag,September
Friday,9,2,85.5,Freitag,September
Friday,9,3,74.75,Freitag,September
Friday,9,4,93.0,Freitag,September
Friday,9,5,213.0,Freitag,September
Friday,9,6,580.5,Freitag,September
Friday,9,7,714.5,Freitag,September
Friday,9,8,781.5,Freitag,September
Friday,9,9,736.5,Freitag,September
Friday,9,10,716.0,Freitag,September
Friday,9,11,787.5,Freitag,September
Friday,9,12,747.25,Freitag,September
Friday,9,13,738.75,Freitag,September
Friday,9,14,750.0,Freitag,September
Friday,9,15,789.0,Freitag,September
Friday,9,16,766.0,Freitag,September
Friday,9,17,794.25,Freitag,September
Friday,9,18,736.5,Freitag,September
Friday,9,19,665.25,Freitag,September
Friday,9,20,579.5,Freitag,September
Friday,9,21,523.75,Freitag,September
Friday,9,22,520.75,Freitag,September
Friday,9,23,497.0,Freitag,September
Friday,10,0,165.25,Freitag,October
Friday,10,1,130.0,Freitag,October
Friday,10,2,78.25,Freitag,October
Friday,10,3,74.75,Freitag,October
Friday,10,4,86.25,Freitag,October
Friday,10,5,177.75,Freitag,October
Friday,10,6,529.0,Freitag,October
Friday,10,7,677.25,Freitag,October
Friday,10,8,702.75,Freitag,October
Friday,10,9,650.25,Freitag,October
Friday,10,10,679.0,Freitag,October
Friday,10,11,717.0,Freitag,October
Friday,10,12,728.0,Freitag,October
Friday,10,13,732.75,Freitag,October
Friday,10,14,760.25,Freitag,October
Friday,10,15,754.25,Freitag,October
Friday,10,16,738.75,Freitag,October
Friday,10,17,743.25,Freitag,October
Friday,10,18,743.5,Freitag,October
Friday,10,19,660.0,Freitag,October
Friday,10,20,574.25,Freitag,October
Friday,10,21,517.5,Freitag,October
Friday,10,22,527.0,Freitag,October
Friday,10,23,480.25,Freitag,October
Friday,11,0,203.6,Freitag,November
Friday,11,1,143.8,Freitag,November
Friday,11,2,95.6,Freitag,November
Friday,11,3,100.6,Freitag,November
Friday,11,4,87.8,Freitag,November
Friday,11,5,191.8,Freitag,November
Friday,11,6,504.8,Freitag,November
Friday,11,7,673.0,Freitag,November
Friday,11,8,728.8,Freitag,November
Friday,11,9,675.8,Freitag,November
Friday,11,10,708.4,Freitag,November
Friday,11,11,770.6,Freitag,November
Friday,11,12,738.4,Freitag,November
Friday,11,13,730.0,Freitag,November
Friday,11,14,740.0,Freitag,November
Friday,11,15,753.2,Freitag,November
Friday,11,16,744.6,Freitag,November
Friday,11,17,723.8,Freitag,November
Friday,11,18,719.6,Freitag,November
Friday,11,19,676.0,Freitag,November
Friday,11,20,588.0,Freitag,November
Friday,11,21,543.6,Freitag,November
Friday,11,22,547.8,Freitag,November
Friday,11,23,541.2,Freitag,November
Friday,12,0,236.5,Freitag,December
Friday,12,1,164.25,Freitag,December
Friday,12,2,125.75,Freitag,December
Friday,12,3,99.5,Freitag,December
Friday,12,4,100.75,Freitag,December
Friday,12,5,180.75,Freitag,December
Friday,12,6,452.25,Freitag,December
Friday,12,7,624.0,Freitag,December
Friday,12,8,660.5,Freitag,December
Friday,12,9,671.0,Freitag,December
Friday,12,10,758.75,Freitag,December
Friday,12,11,836.75,Freitag,December
Friday,12,12,809.5,Freitag,December
Friday,12,13,808.0,Freitag,December
Friday,12,14,818.75,Freitag,December
Friday,12,15,766.0,Freitag,December
Friday,12,16,765.5,Freitag,December
Friday,12,17,778.75,Freitag,December
Friday,12,18,696.0,Freitag,December
Friday,12,19,673.25,Freitag,December
Friday,12,20,542.5,Freitag,December
Friday,12,21,495.75,Freitag,December
Friday,12,22,546.5,Freitag,December
Friday,12,23,531.5,Freitag,December
Monday,1,0,84.0,Montag,January
Monday,1,1,70.66666666666667,Montag,January
Monday,1,2,42.333333333333336,Montag,January
Monday,1,3,46.333333333333336,Montag,January
Monday,1,4,49.666666666666664,Montag,January
Monday,1,5,170.33333333333334,Montag,January
Monday,1,6,485.0,Montag,January
Monday,1,7,696.3333333333334,Montag,January
Monday,1,8,800.0,Montag,January
Monday,1,9,659.3333333333334,Montag,January
Monday,1,10,615.0,Montag,January
Monday,1,11,634.6666666666666,Montag,January
Monday,1,12,587.6666666666666,Montag,January
Monday,1,13,639.0,Montag,January
Monday,1,14,634.3333333333334,Montag,January
Monday,1,15,648.0,Montag,January
Monday,1,16,712.5,Montag,January
Monday,1,17,721.5,Montag,January
Monday,1,18,656.75,Montag,January
Monday,1,19,457.75,Montag,January
Monday,1,20,338.0,Montag,January
Monday,1,21,233.25,Montag,January
Monday,1,22,211.75,Montag,January
Monday,1,23,114.25,Montag,January
Monday,2,0,89.33333333333333,Montag,February
Monday,2,1,63.0,Montag,February
Monday,2,2,43.0,Montag,February
Monday,2,3,46.333333333333336,Montag,February
Monday,2,4,51.666666666666664,Montag,February
Monday,2,5,176.0,Montag,February
Monday,2,6,481.3333333333333,Montag,February
Monday,2,7,718.3333333333334,Montag,February
Monday,2,8,744.6666666666666,Montag,February
Monday,2,9,597.0,Montag,February
Monday,2,10,576.0,Montag,February
Monday,2,11,622.5,Montag,February
Monday,2,12,585.5,Montag,February
Monday,2,13,620.0,Montag,February
Monday,2,14,606.0,Montag,February
Monday,2,15,606.25,Montag,February
Monday,2,16,714.0,Montag,February
Monday,2,17,719.25,Montag,February
Monday,2,18,585.25,Montag,February
Monday,2,19,408.25,Montag,February
Monday,2,20,318.25,Montag,February
Monday,2,21,238.25,Montag,February
Monday,2,22,200.75,Montag,February
Monday,2,23,117.5,Montag,February
Monday,3,0,86.75,Montag,March
Monday,3,1,70.25,Montag,March
Monday,3,2,39.75,Montag,March
Monday,3,3,47.25,Montag,March
Monday,3,4,46.25,Montag,March
Monday,3,5,197.25,Montag,March
Monday,3,6,517.75,Montag,March
Monday,3,7,766.75,Montag,March
Monday,3,8,844.75,Montag,March
Monday,3,9,691.75,Montag,March
Monday,3,10,665.25,Montag,March
Monday,3,11,655.25,Montag,March
Monday,3,12,659.0,Montag,March
Monday,3,13,681.75,Montag,March
Monday,3,14,671.0,Montag,March
Monday,3,15,679.75,Montag,March
Monday,3,16,760.75,Montag,March
Monday,3,17,764.75,Montag,March
Monday,3,18,652.25,Montag,March
Monday,3,19,484.0,Montag,March
Monday,3,20,364.5,Montag,March
Monday,3,21,266.75,Montag,March
Monday,3,22,210.5,Montag,March
Monday,3,23,126.5,Montag,March
Monday,4,0,109.75,Montag,April
Monday,4,1,90.0,Montag,April
Monday,4,2,46.25,Montag,April
Monday,4,3,49.0,Montag,April
Monday,4,4,57.5,Montag,April
Monday,4,5,206.75,Montag,April
Monday,4,6,579.0,Montag,April
Monday,4,7,759.5,Montag,April
Monday,4,8,773.5,Montag,April
Monday,4,9,640.0,Montag,April
Monday,4,10,659.0,Montag,April
Monday,4,11,659.25,Montag,April
Monday,4,12,654.75,Montag,April
Monday,4,13,671.5,Montag,April
Monday,4,14,669.5,Montag,April
Monday,4,15,655.0,Montag,April
Monday,4,16,693.75,Montag,April
Monday,4,17,735.0,Montag,April
Monday,4,18,635.75,Montag,April
Monday,4,19,481.75,Montag,April
Monday,4,20,367.5,Montag,April
Monday,4,21,282.25,Montag,April
Monday,4,22,247.5,Montag,April
Monday,4,23,173.75,Montag,April
Monday,5,0,118.33333333333333,Montag,May
Monday,5,1,85.33333333333333,Montag,May
Monday,5,2,45.333333333333336,Montag,May
Monday,5,3,52.666666666666664,Montag,May
Monday,5,4,60.333333333333336,Montag,May
Monday,5,5,221.0,Montag,May
Monday,5,6,567.0,Montag,May
Monday,5,7,769.6666666666666,Montag,May
Monday,5,8,780.3333333333334,Montag,May
Monday,5,9,744.6666666666666,Montag,May
Monday,5,10,673.3333333333334,Montag,May
Monday,5,11,662.6666666666666,Montag,May
Monday,5,12,637.0,Montag,May
Monday,5,13,674.3333333333334,Montag,May
Monday,5,14,634.3333333333334,Montag,May
Monday,5,15,716.0,Montag,May
Monday,5,16,738.6666666666666,Montag,May
Monday,5,17,757.3333333333334,Montag,May
Monday,5,18,688.3333333333334,Montag,May
Monday,5,19,511.3333333333333,Montag,May
Monday,5,20,389.3333333333333,Montag,May
Monday,5,21,302.3333333333333,Montag,May
Monday,5,22,264.0,Montag,May
Monday,5,23,175.0,Montag,May
Monday,6,0,128.25,Montag,June
Monday,6,1,90.25,Montag,June
Monday,6,2,48.5,Montag,June
Monday,6,3,50.5,Montag,June
Monday,6,4,54.5,Montag,June
Monday,6,5,230.5,Montag,June
Monday,6,6,556.5,Montag,June
Monday,6,7,745.75,Montag,June
Monday,6,8,793.0,Montag,June
Monday,6,9,688.75,Montag,June
Monday,6,10,684.5,Montag,June
Monday,6,11,690.25,Montag,June
Monday,6,12,677.25,Montag,June
Monday,6,13,671.0,Montag,June
Monday,6,14,653.0,Montag,June
Monday,6,15,706.25,Montag,June
Monday,6,16,726.25,Montag,June
Monday,6,17,701.75,Montag,June
Monday,6,18,598.25,Montag,June
Monday,6,19,483.75,Montag,June
Monday,6,20,388.75,Montag,June
Monday,6,21,271.25,Montag,June
Monday,6,22,238.0,Montag,June
Monday,6,23,179.25,Montag,June
Monday,7,0,189.0,Montag,July
Monday,7,1,100.25,Montag,July
Monday,7,2,59.75,Montag,July
Monday,7,3,51.0,Montag,July
Monday,7,4,64.75,Montag,July
Monday,7,5,216.75,Montag,July
Monday,7,6,579.25,Montag,July
Monday,7,7,715.0,Montag,July
Monday,7,8,803.75,Montag,July
Monday,7,9,674.5,Montag,July
Monday,7,10,652.25,Montag,July
Monday,7,11,660.75,Montag,July
Monday,7,12,645.75,Montag,July
Monday,7,13,655.5,Montag,July
Monday,7,14,662.75,Montag,July
Monday,7,15,671.0,Montag,July
Monday,7,16,714.0,Montag,July
Monday,7,17,773.75,Montag,July
Monday,7,18,669.75,Montag,July
Monday,7,19,514.5,Montag,July
Monday,7,20,394.25,Montag,July
Monday,7,21,276.25,Montag,July
Monday,7,22,262.75,Montag,July
Monday,7,23,181.0,Montag,July
Monday,8,0,129.0,Montag,August
Monday,8,1,86.5,Montag,August
Monday,8,2,54.75,Montag,August
Monday,8,3,39.25,Montag,August
Monday,8,4,50.5,Montag,August
Monday,8,5,215.25,Montag,August
Monday,8,6,550.0,Montag,August
Monday,8,7,702.25,Montag,August
Monday,8,8,799.25,Montag,August
Monday,8,9,682.25,Montag,August
Monday,8,10,677.0,Montag,August
Monday,8,11,712.5,Montag,August
Monday,8,12,670.0,Montag,August
Monday,8,13,662.5,Montag,August
Monday,8,14,673.0,Montag,August
Monday,8,15,706.25,Montag,August
Monday,8,16,765.5,Montag,August
Monday,8,17,769.75,Montag,August
Monday,8,18,685.75,Montag,August
Monday,8,19,543.5,Montag,August
Monday,8,20,409.75,Montag,August
Monday,8,21,305.25,Montag,August
Monday,8,22,288.75,Montag,August
Monday,8,23,183.5,Montag,August
Monday,9,0,121.2,Montag,September
Monday,9,1,71.8,Montag,September
Monday,9,2,42.4,Montag,September
Monday,9,3,48.2,Montag,September
Monday,9,4,55.6,Montag,September
Monday,9,5,212.6,Montag,September
Monday,9,6,570.6,Montag,September
Monday,9,7,737.4,Montag,September
Monday,9,8,797.6,Montag,September
Monday,9,9,649.0,Montag,September
Monday,9,10,640.4,Montag,September
Monday,9,11,641.2,Montag,September
Monday,9,12,653.8,Montag,September
Monday,9,13,650.2,Montag,September
Monday,9,14,637.4,Montag,September
Monday,9,15,668.4,Montag,September
Monday,9,16,729.4,Montag,September
Monday,9,17,731.2,Montag,September
Monday,9,18,644.6,Montag,September
Monday,9,19,497.8,Montag,September
Monday,9,20,397.8,Montag,September
Monday,9,21,343.0,Montag,September
Monday,9,22,294.2,Montag,September
Monday,9,23,167.4,Montag,September
Monday,10,0,101.75,Montag,October
Monday,10,1,73.25,Montag,October
Monday,10,2,40.25,Montag,October
Monday,10,3,36.0,Montag,October
Monday,10,4,60.75,Montag,October
Monday,10,5,216.75,Montag,October
Monday,10,6,557.75,Montag,October
Monday,10,7,729.0,Montag,October
Monday,10,8,771.75,Montag,October
Monday,10,9,674.0,Montag,October
Monday,10,10,618.75,Montag,October
Monday,10,11,623.25,Montag,October
Monday,10,12,606.75,Montag,October
Monday,10,13,651.0,Montag,October
Monday,10,14,644.25,Montag,October
Monday,10,15,702.75,Montag,October
Monday,10,16,724.75,Montag,October
Monday,10,17,739.5,Montag,October
Monday,10,18,602.25,Montag,October
Monday,10,19,472.25,Montag,October
Monday,10,20,384.0,Montag,October
Monday,10,21,323.75,Montag,October
Monday,10,22,273.25,Montag,October
Monday,10,23,194.75,Montag,October
Monday,11,0,97.0,Montag,November
Monday,11,1,66.5,Montag,November
Monday,11,2,44.0,Montag,November
Monday,11,3,42.25,Montag,November
Monday,11,4,52.25,Montag,November
Monday,11,5,212.0,Montag,November
Monday,11,6,569.75,Montag,November
Monday,11,7,763.25,Montag,November
Monday,11,8,831.75,Montag,November
Monday,11,9,667.5,Montag,November
Monday,11,10,645.5,Montag,November
Monday,11,11,638.25,Montag,November
Monday,11,12,615.0,Montag,November
Monday,11,13,652.5,Montag,November
Monday,11,14,648.0,Montag,November
Monday,11,15,690.5,Montag,November
Monday,11,16,733.75,Montag,November
Monday,11,17,706.5,Montag,November
Monday,11,18,631.0,Montag,November
Monday,11,19,485.5,Montag,November
Monday,11,20,423.25,Montag,November
Monday,11,21,378.0,Montag,November
Monday,11,22,333.75,Montag,November
Monday,11,23,187.5,Montag,November
Monday,12,0,120.4,Montag,December
Monday,12,1,78.0,Montag,December
Monday,12,2,49.0,Montag,December
Monday,12,3,54.8,Montag,December
Monday,12,4,67.0,Montag,December
Monday,12,5,179.4,Montag,December
Monday,12,6,442.6,Montag,December
Monday,12,7,631.2,Montag,December
Monday,12,8,682.2,Montag,December
Monday,12,9,659.4,Montag,December
Monday,12,10,667.2,Montag,December
Monday,12,11,737.6,Montag,December
Monday,12,12,742.8,Montag,December
Monday,12,13,754.8,Montag,December
Monday,12,14,720.2,Montag,December
Monday,12,15,727.8,Montag,December
Monday,12,16,752.2,Montag,December
Monday,12,17,710.8,Montag,December
Monday,12,18,660.8,Montag,December
Monday,12,19,505.2,Montag,December
Monday,12,20,415.8,Montag,December
Monday,12,21,352.8,Montag,December
Monday,12,22,309.4,Montag,December
Monday,12,23,224.0,Montag,December
Thursday,1,0,101.25,Donnerstag,January
Thursday,1,1,83.0,Donnerstag,January
Thursday,1,2,45.25,Donnerstag,January
Thursday,1,3,47.75,Donnerstag,January
Thursday,1,4,40.25,Donnerstag,January
Thursday,1,5,167.75,Donnerstag,January
Thursday,1,6,482.25,Donnerstag,January
Thursday,1,7,678.75,Donnerstag,January
Thursday,1,8,766.0,Donnerstag,January
Thursday,1,9,680.0,Donnerstag,January
Thursday,1,10,651.0,Donnerstag,January
Thursday,1,11,682.5,Donnerstag,January
Thursday,1,12,678.25,Donnerstag,January
Thursday,1,13,687.5,Donnerstag,January
Thursday,1,14,674.25,Donnerstag,January
Thursday,1,15,677.5,Donnerstag,January
Thursday,1,16,755.0,Donnerstag,January
Thursday,1,17,755.5,Donnerstag,January
Thursday,1,18,714.75,Donnerstag,January
Thursday,1,19,575.25,Donnerstag,January
Thursday,1,20,396.25,Donnerstag,January
Thursday,1,21,326.5,Donnerstag,January
Thursday,1,22,320.75,Donnerstag,January
Thursday,1,23,208.75,Donnerstag,January
Thursday,2,0,118.2,Donnerstag,February
Thursday,2,1,88.8,Donnerstag,February
Thursday,2,2,53.2,Donnerstag,February
Thursday,2,3,64.2,Donnerstag,February
Thursday,2,4,49.2,Donnerstag,February
Thursday,2,5,164.6,Donnerstag,February
Thursday,2,6,479.2,Donnerstag,February
Thursday,2,7,724.2,Donnerstag,February
Thursday,2,8,811.8,Donnerstag,February
Thursday,2,9,719.6,Donnerstag,February
Thursday,2,10,694.0,Donnerstag,February
Thursday,2,11,691.6,Donnerstag,February
Thursday,2,12,643.4,Donnerstag,February
Thursday,2,13,690.0,Donnerstag,February
Thursday,2,14,702.0,Donnerstag,February
Thursday,2,15,711.2,Donnerstag,February
Thursday,2,16,743.2,Donnerstag,February
Thursday,2,17,790.4,Donnerstag,February
Thursday,2,18,732.0,Donnerstag,February
Thursday,2,19,562.8,Donnerstag,February
Thursday,2,20,413.4,Donnerstag,February
Thursday,2,21,327.4,Donnerstag,February
Thursday,2,22,312.0,Donnerstag,February
Thursday,2,23,226.6,Donnerstag,February
Thursday,3,0,124.25,Donnerstag,March
Thursday,3,1,100.75,Donnerstag,March
Thursday,3,2,62.0,Donnerstag,March
Thursday,3,3,61.5,Donnerstag,March
Thursday,3,4,48.0,Donnerstag,March
Thursday,3,5,189.75,Donnerstag,March
Thursday,3,6,542.25,Donnerstag,March
Thursday,3,7,755.75,Donnerstag,March
Thursday,3,8,843.0,Donnerstag,March
Thursday,3,9,756.0,Donnerstag,March
Thursday,3,10,724.75,Donnerstag,March
Thursday,3,11,736.75,Donnerstag,March
Thursday,3,12,742.75,Donnerstag,March
Thursday,3,13,752.25,Donnerstag,March
Thursday,3,14,751.25,Donnerstag,March
Thursday,3,15,769.5,Donnerstag,March
Thursday,3,16,814.0,Donnerstag,March
Thursday,3,17,810.75,Donnerstag,March
Thursday,3,18,777.25,Donnerstag,March
Thursday,3,19,626.5,Donnerstag,March
Thursday,3,20,483.75,Donnerstag,March
Thursday,3,21,376.25,Donnerstag,March
Thursday,3,22,390.25,Donnerstag,March
Thursday,3,23,300.0,Donnerstag,March
Thursday,4,0,120.0,Donnerstag,April
Thursday,4,1,91.75,Donnerstag,April
Thursday,4,2,57.25,Donnerstag,April
Thursday,4,3,62.75,Donnerstag,April
Thursday,4,4,44.75,Donnerstag,April
Thursday,4,5,187.5,Donnerstag,April
Thursday,4,6,573.0,Donnerstag,April
Thursday,4,7,789.25,Donnerstag,April
Thursday,4,8,849.0,Donnerstag,April
Thursday,4,9,743.0,Donnerstag,April
Thursday,4,10,737.75,Donnerstag,April
Thursday,4,11,760.25,Donnerstag,April
Thursday,4,12,735.75,Donnerstag,April
Thursday,4,13,736.75,Donnerstag,April
Thursday,4,14,728.0,Donnerstag,April
Thursday,4,15,766.25,Donnerstag,April
Thursday,4,16,785.0,Donnerstag,April
Thursday,4,17,764.75,Donnerstag,April
Thursday,4,18,744.25,Donnerstag,April
Thursday,4,19,628.25,Donnerstag,April
Thursday,4,20,463.25,Donnerstag,April
Thursday,4,21,379.5,Donnerstag,April
Thursday,4,22,374.25,Donnerstag,April
Thursday,4,23,244.5,Donnerstag,April
Thursday,5,0,128.0,Donnerstag,May
Thursday,5,1,100.5,Donnerstag,May
Thursday,5,2,66.25,Donnerstag,May
Thursday,5,3,64.75,Donnerstag,May
Thursday,5,4,58.25,Donnerstag,May
Thursday,5,5,201.0,Donnerstag,May
Thursday,5,6,566.0,Donnerstag,May
Thursday,5,7,758.0,Donnerstag,May
Thursday,5,8,824.75,Donnerstag,May
Thursday,5,9,759.75,Donnerstag,May
Thursday,5,10,733.25,Donnerstag,May
Thursday,5,11,779.25,Donnerstag,May
Thursday,5,12,764.75,Donnerstag,May
Thursday,5,13,783.75,Donnerstag,May
Thursday,5,14,740.5,Donnerstag,May
Thursday,5,15,755.25,Donnerstag,May
Thursday,5,16,777.5,Donnerstag,May
Thursday,5,17,774.25,Donnerstag,May
Thursday,5,18,707.25,Donnerstag,May
Thursday,5,19,634.75,Donnerstag,May
Thursday,5,20,462.25,Donnerstag,May
Thursday,5,21,344.25,Donnerstag,May
Thursday,5,22,363.0,Donnerstag,May
Thursday,5,23,253.25,Donnerstag,May
Thursday,6,0,146.0,Donnerstag,June
Thursday,6,1,110.0,Donnerstag,June
Thursday,6,2,69.75,Donnerstag,June
Thursday,6,3,64.75,Donnerstag,June
Thursday,6,4,52.75,Donnerstag,June
Thursday,6,5,200.5,Donnerstag,June
Thursday,6,6,581.0,Donnerstag,June
Thursday,6,7,768.75,Donnerstag,June
Thursday,6,8,874.0,Donnerstag,June
Thursday,6,9,806.75,Donnerstag,June
Thursday,6,10,741.5,Donnerstag,June
Thursday,6,11,761.0,Donnerstag,June
Thursday,6,12,713.75,Donnerstag,June
Thursday,6,13,731.0,Donnerstag,June
Thursday,6,14,718.5,Donnerstag,June
Thursday,6,15,734.75,Donnerstag,June
Thursday,6,16,781.25,Donnerstag,June
Thursday,6,17,784.75,Donnerstag,June
Thursday,6,18,744.75,Donnerstag,June
Thursday,6,19,615.5,Donnerstag,June
Thursday,6,20,457.5,Donnerstag,June
